nohup: ignoring input
# /home/bioflora/allopolyploids/scripts/_check_lineages_polyploids.pl -t 100065_c35185_g1_i1_chr2-2924216-2928564--.fa.block.fna.trimmed.fna.treefile.root.ph -f 100065_c35185_g1_i1_chr2-2924216-2928564--.fa.block.fna.trimmed.fna -v 0 -l 0


# 100065_c35185_g1_i1_chr2-2924216-2928564--.fa.block.label.fna.trimmed.fna 100065_c35185_g1_i1_chr2-2924216-2928564--.fa.block.label.reduced.fna.trimmed.fna 1878 100065_c35185_g1_i1_chr2-2924216-2928564--.fa.block.fna.trimmed.fna.treefile.root.label.ph

	A	B	C	D	E	F	G	H	I	all
Bmex	1	0	0	0	0	0	0	0	0	1
Bboi	1	0	0	0	0	0	0	0	0	1
Bret	0	0	0	0	0	0	0	0	0	0
Bhyb	0	0	0	1	0	0	0	0	0	1
Brup	0	0	0	0	0	0	0	0	0	0
Bpho	0	0	0	0	1	0	0	0	0	1
B422	0	0	0	0	0	0	0	0	0	0
# /home/bioflora/allopolyploids/scripts/_check_lineages_polyploids.pl -t 100128_c35206_g3_i1_chr2-21577376-21581870-+.fa.block.fna.trimmed.fna.treefile.root.ph -f 100128_c35206_g3_i1_chr2-21577376-21581870-+.fa.block.fna.trimmed.fna -v 0 -l 0


# 100128_c35206_g3_i1_chr2-21577376-21581870-+.fa.block.label.fna.trimmed.fna 100128_c35206_g3_i1_chr2-21577376-21581870-+.fa.block.label.reduced.fna.trimmed.fna 1609 100128_c35206_g3_i1_chr2-21577376-21581870-+.fa.block.fna.trimmed.fna.treefile.root.label.ph

	A	B	C	D	E	F	G	H	I	all
Bmex	1	0	0	0	0	0	0	0	0	1
Bboi	0	0	0	0	1	0	0	0	0	1
Bret	0	0	0	0	1	0	0	0	0	1
Bhyb	0	0	0	1	0	0	0	0	0	1
Brup	0	0	0	0	0	1	0	0	0	1
Bpho	0	0	0	0	0	0	0	0	0	0
B422	0	0	0	0	0	1	0	0	0	1
# /home/bioflora/allopolyploids/scripts/_check_lineages_polyploids.pl -t 100174_c37800_g1_i2_Chr07-2163281-2167826-+.fa.block.fna.trimmed.fna.treefile.root.ph -f 100174_c37800_g1_i2_Chr07-2163281-2167826-+.fa.block.fna.trimmed.fna -v 0 -l 0


# 100174_c37800_g1_i2_Chr07-2163281-2167826-+.fa.block.label.fna.trimmed.fna 100174_c37800_g1_i2_Chr07-2163281-2167826-+.fa.block.label.reduced.fna.trimmed.fna 1435 100174_c37800_g1_i2_Chr07-2163281-2167826-+.fa.block.fna.trimmed.fna.treefile.root.label.ph

	A	B	C	D	E	F	G	H	I	all
Bmex	0	0	1	0	0	0	0	0	0	1
Bboi	0	0	1	0	0	0	0	0	0	1
Bret	0	0	1	0	0	0	0	0	0	1
Bhyb	0	1	0	0	0	0	0	0	0	1
Brup	0	0	0	0	1	0	0	0	0	1
Bpho	0	0	0	0	1	0	0	0	0	1
B422	0	0	0	0	1	0	0	0	0	1
# /home/bioflora/allopolyploids/scripts/_check_lineages_polyploids.pl -t 100177_c27057_g1_i1_chr9-27987595-27995538--.fa.block.fna.trimmed.fna.treefile.root.ph -f 100177_c27057_g1_i1_chr9-27987595-27995538--.fa.block.fna.trimmed.fna -v 0 -l 0


# 100177_c27057_g1_i1_chr9-27987595-27995538--.fa.block.label.fna.trimmed.fna 100177_c27057_g1_i1_chr9-27987595-27995538--.fa.block.label.reduced.fna.trimmed.fna 1867 100177_c27057_g1_i1_chr9-27987595-27995538--.fa.block.fna.trimmed.fna.treefile.root.label.ph

	A	B	C	D	E	F	G	H	I	all
Bmex	0	0	1	0	0	0	0	0	0	1
Bboi	0	0	1	0	0	0	0	0	0	1
Bret	0	0	1	0	0	0	0	0	0	1
Bhyb	0	0	0	1	0	0	0	0	0	1
Brup	0	0	0	0	0	0	1	0	0	1
Bpho	0	0	0	0	0	0	1	0	0	1
B422	0	0	0	0	0	0	1	0	0	1
# /home/bioflora/allopolyploids/scripts/_check_lineages_polyploids.pl -t 100247_c34971_g5_i1_chr1-7464635-7467382-+.fa.block.fna.trimmed.fna.treefile.root.ph -f 100247_c34971_g5_i1_chr1-7464635-7467382-+.fa.block.fna.trimmed.fna -v 0 -l 0


# 100247_c34971_g5_i1_chr1-7464635-7467382-+.fa.block.label.fna.trimmed.fna 100247_c34971_g5_i1_chr1-7464635-7467382-+.fa.block.label.reduced.fna.trimmed.fna 1762 100247_c34971_g5_i1_chr1-7464635-7467382-+.fa.block.fna.trimmed.fna.treefile.root.label.ph

	A	B	C	D	E	F	G	H	I	all
Bmex	1	0	0	0	0	0	0	0	0	1
Bboi	1	0	0	0	0	0	0	0	0	1
Bret	1	0	0	0	0	0	0	0	0	1
Bhyb	0	1	0	0	0	0	0	0	0	1
Brup	0	0	0	0	0	0	1	0	0	1
Bpho	0	0	0	0	0	0	1	0	0	1
B422	0	0	0	0	0	0	1	0	0	1
# /home/bioflora/allopolyploids/scripts/_check_lineages_polyploids.pl -t 100433_c38261_g1_i3_chr7-10097613-10100777-+.fa.block.fna.trimmed.fna.treefile.root.ph -f 100433_c38261_g1_i3_chr7-10097613-10100777-+.fa.block.fna.trimmed.fna -v 0 -l 0


# 100433_c38261_g1_i3_chr7-10097613-10100777-+.fa.block.label.fna.trimmed.fna 100433_c38261_g1_i3_chr7-10097613-10100777-+.fa.block.label.reduced.fna.trimmed.fna 1200 100433_c38261_g1_i3_chr7-10097613-10100777-+.fa.block.fna.trimmed.fna.treefile.root.label.ph

	A	B	C	D	E	F	G	H	I	all
Bmex	0	0	1	0	0	0	0	0	0	1
Bboi	0	0	1	0	0	0	0	0	0	1
Bret	0	0	1	0	0	0	0	0	0	1
Bhyb	0	0	0	0	0	0	0	0	0	0
Brup	0	0	0	0	0	0	0	0	0	0
Bpho	0	0	0	0	0	0	0	0	0	0
B422	0	0	0	0	0	0	0	0	0	0
# /home/bioflora/allopolyploids/scripts/_check_lineages_polyploids.pl -t 100471_c17252_g1_i1_chr8-13382213-13384411-+.fa.block.fna.trimmed.fna.treefile.root.ph -f 100471_c17252_g1_i1_chr8-13382213-13384411-+.fa.block.fna.trimmed.fna -v 0 -l 0


# 100471_c17252_g1_i1_chr8-13382213-13384411-+.fa.block.label.fna.trimmed.fna 100471_c17252_g1_i1_chr8-13382213-13384411-+.fa.block.label.reduced.fna.trimmed.fna 2114 100471_c17252_g1_i1_chr8-13382213-13384411-+.fa.block.fna.trimmed.fna.treefile.root.label.ph

	A	B	C	D	E	F	G	H	I	all
Bmex	0	1	0	0	0	0	0	0	0	1
Bboi	0	1	0	0	0	0	0	0	0	1
Bret	0	0	0	0	1	0	0	0	0	1
Bhyb	0	0	0	1	0	0	0	0	0	1
Brup	0	0	0	0	0	0	1	0	0	1
Bpho	0	0	0	0	1	0	0	0	0	1
B422	0	0	0	0	0	0	0	0	0	0
# /home/bioflora/allopolyploids/scripts/_check_lineages_polyploids.pl -t 100491_c34465_g2_i3_chr2-3473594-3481990--.fa.block.fna.trimmed.fna.treefile.root.ph -f 100491_c34465_g2_i3_chr2-3473594-3481990--.fa.block.fna.trimmed.fna -v 0 -l 0


# 100491_c34465_g2_i3_chr2-3473594-3481990--.fa.block.label.fna.trimmed.fna 100491_c34465_g2_i3_chr2-3473594-3481990--.fa.block.label.reduced.fna.trimmed.fna 923 100491_c34465_g2_i3_chr2-3473594-3481990--.fa.block.fna.trimmed.fna.treefile.root.label.ph

	A	B	C	D	E	F	G	H	I	all
Bmex	1	0	0	0	0	0	0	0	0	1
Bboi	1	0	0	0	0	0	0	0	0	1
Bret	0	0	0	0	0	1	0	0	0	1
Bhyb	0	1	0	0	0	0	0	0	0	1
Brup	0	0	0	0	0	0	0	0	1	1
Bpho	0	0	0	0	1	0	0	0	0	1
B422	0	0	0	0	0	0	0	0	1	1
# /home/bioflora/allopolyploids/scripts/_check_lineages_polyploids.pl -t 100546_c28312_g1_i1_chr6-9687476-9690120--.fa.block.fna.trimmed.fna.treefile.root.ph -f 100546_c28312_g1_i1_chr6-9687476-9690120--.fa.block.fna.trimmed.fna -v 0 -l 0


# 100546_c28312_g1_i1_chr6-9687476-9690120--.fa.block.label.fna.trimmed.fna 100546_c28312_g1_i1_chr6-9687476-9690120--.fa.block.label.reduced.fna.trimmed.fna 692 100546_c28312_g1_i1_chr6-9687476-9690120--.fa.block.fna.trimmed.fna.treefile.root.label.ph

	A	B	C	D	E	F	G	H	I	all
Bmex	1	0	0	0	0	0	0	0	0	1
Bboi	0	0	0	0	0	0	0	0	0	0
Bret	0	0	0	0	1	0	0	0	0	1
Bhyb	0	1	0	0	0	0	0	0	0	1
Brup	0	0	0	0	1	0	0	0	0	1
Bpho	0	0	0	0	1	0	0	0	0	1
B422	0	0	0	0	1	0	0	0	0	1
# /home/bioflora/allopolyploids/scripts/_check_lineages_polyploids.pl -t 100632_c70104_g1_i1_chr1-24356237-24359322-+.fa.block.fna.trimmed.fna.treefile.root.ph -f 100632_c70104_g1_i1_chr1-24356237-24359322-+.fa.block.fna.trimmed.fna -v 0 -l 0


# 100632_c70104_g1_i1_chr1-24356237-24359322-+.fa.block.label.fna.trimmed.fna 100632_c70104_g1_i1_chr1-24356237-24359322-+.fa.block.label.reduced.fna.trimmed.fna 1529 100632_c70104_g1_i1_chr1-24356237-24359322-+.fa.block.fna.trimmed.fna.treefile.root.label.ph

	A	B	C	D	E	F	G	H	I	all
Bmex	0	0	0	0	0	0	0	0	0	0
Bboi	0	1	0	0	0	0	0	0	0	1
Bret	0	1	0	0	0	0	0	0	0	1
Bhyb	0	0	0	0	0	0	0	0	0	0
Brup	0	0	0	0	0	0	0	0	1	1
Bpho	0	0	0	0	1	0	0	0	0	1
B422	0	0	0	0	1	0	0	0	0	1
